delta_encoder,mag_orient
-1.7384307174014708,2.114548216339653
-1.7384307174014708,2.163585015367299
-1.7384307174014708,2.1374062171001484
-1.7384307174014708,2.0866227552859233
-1.7384307174014708,2.079756964472115
-1.7384307174014708,2.0799163488655865
-1.7384307174014708,2.0820500647367735
-1.7384307174014708,2.085102960933712
-1.7384307174014708,2.071686977345854
-1.7384307174014708,2.0685410583834285
-1.98677796274454,2.0922401951159193
-1.98677796274454,2.0912895827117177
-1.98677796274454,2.0684832515417457
-1.738430717401478,2.126303663123302
-1.738430717401478,2.092006577682012
-1.738430717401478,2.093575866367486
-1.738430717401478,2.1218531977529693
-1.9867779627445472,2.1210317570771036
-1.9867779627445472,2.1006139580654084
-1.9867779627445472,2.272178591770609
-1.9867779627445472,2.246453632441988
-1.9867779627445472,2.2366706548749793
-1.9867779627445472,2.2385883864353286
-1.9867779627445472,2.217637890652726
-1.9867779627445472,2.15580041251142
-1.9867779627445472,2.2133387800198108
-1.7384307174014815,2.2357540909793276
-1.986777962744549,2.1054309526604555
-1.986777962744549,2.140283171372156
-1.986777962744548,2.160031461637163
-1.7384307174014815,2.1550779499755865
-1.490083472058414,2.115006380759568
-1.2417362267153473,2.1607200199474996
-0.7450417360292141,2.2070722661672004
-0.49669449068614746,2.200750341421021
-1.4210854715202004e-14,2.2196096314209197
0.49669449068611904,2.2130608634665254
0.7450417360291858,2.1960844602546956
0.9933889813722525,2.217348465974571
1.2417362267153191,2.2323236310167545
1.986777962744519,2.2190728030190434
1.9867779627445188,2.233176757463162
2.235125208087586,2.2250830908081474
1.7384307174014526,2.2036984512664195
1.7384307174014526,2.2120094787563493
1.241736226715319,2.2051409628111984
0.9933889813722523,2.2096556135151273
0.7450417360291857,2.2366237727462805
0.7450417360291857,2.229316650437511
0.7450417360291857,2.1878971410829124
0.7450417360291857,2.2171831519267107
0.7450417360291857,2.234700191562816
0.7450417360291857,2.2494897958505953
0.7450417360291857,2.232794255789719
0.7450417360291857,2.2336439215033974
0.7450417360291857,2.2435559888681036
0.7450417360291857,2.238168912889881
0.9933889813722523,2.1911248224300395
0.9933889813722523,2.222134333636794
0.9933889813722523,2.1803035928128223
0.9933889813722523,2.2060860247377345
1.241736226715319,2.1813226776523993
1.4900834720583855,2.2139470361860782
1.9867779627445188,2.1895744093181966
2.483472453430652,2.1830329055108
2.7318196987737178,2.2174363063085374
3.228514189459851,2.2232470713967483
3.4768614348029168,2.2120747293078398
3.973555925489052,2.0827451328536424
4.2219031708321175,2.160683884390806
3.973555925489052,2.287041409637841
3.9735559254890482,2.166092872279783
3.7252086801459825,2.1495723866478222
3.476861434802913,2.3758140120291427
3.7252086801459754,2.181738214083792
3.7252086801459754,2.12526174039296
3.476861434802906,2.131000382594889
3.228514189459844,2.17832217438159
2.7318196987737124,2.0023299409024524
2.483472453430643,2.0711748450545775
2.235125208087574,2.0529000092661507
1.9867779627445046,2.0390134074949056
1.7384307174014353,2.0884548307583146
1.490083472058366,2.1297314300527006
1.2417362267152967,2.1040377417605525
0.9933889813722274,2.0775662270920567
0.9933889813722274,2.101752956356908
0.9933889813722274,2.0810246441307214
0.9933889813722274,2.0808716809397834
0.9933889813722274,2.1408779871030994
0.9933889813722274,2.095744593521466
0.9933889813722274,2.09707343149432
0.9933889813722274,2.1072691432890087
0.9933889813722274,2.119011479641413
0.9933889813722274,2.1219184530974364
0.9933889813722274,2.140804750901078
0.7450417360291652,2.0799087144346156
0.9933889813722274,2.076978854014395
1.2417362267152967,2.1004165076806056
1.7384307174014282,2.0970067888192228
2.2351252080875597,2.114788300729544
2.483472453430629,2.055203823917496
2.9801669441167604,2.125127656533354
3.4768614348028954,2.2120270584906976
3.725208680145961,2.2574860878661336
4.221903170832096,2.303032404116162
3.9735559254890305,2.179844871377412
3.7252086801459647,2.151993085178632
3.476861434802898,2.2537711338927005
3.7252086801459647,2.1731778037712544
2.9801669441167657,2.180473867564323
2.7318196987736987,2.1635204836539645
2.980166944116765,2.2134115206848524
3.2285141894598315,2.155279571059359
2.7318196987736982,2.1058517716889162
2.7318196987736982,2.158026720295528
2.7318196987736982,2.1819062291941886
3.2285141894598297,2.2128358131013486
3.4768614348028954,2.2568678279991614
3.973555925489027,2.2466246562035295
4.470250416175158,2.232182728923409
5.215292152204359,2.2240432170828797
5.463639397547425,2.261232450915488
6.208681133576626,2.2490331798484586
6.457028378919695,2.251119574790275
6.953722869605826,2.24778226795971
6.953722869605826,2.2333201836824172
7.450417360291961,2.2202707758568656
7.450417360291961,2.228143015530242
7.698764605635027,2.2474625535841843
7.9471118509780965,2.2431188727863476
7.9471118509780965,2.2360387727639743
7.9471118509780965,2.2941873679742537
8.195459096321166,2.231881583304147
8.443806341664235,2.2685411555266692
8.443806341664235,2.283763850620029
8.443806341664235,2.3003895741417657
8.692153587007304,2.2498539325876905
8.692153587007304,2.257985945363564
8.692153587007304,2.29756038934469
8.692153587007304,2.283003792969704
8.692153587007304,2.2278825860402383
8.692153587007304,2.289001174222057
8.692153587007304,2.2783425787378757
8.692153587007304,2.243277760895137
8.692153587007304,2.2549788780183726
8.692153587007304,2.2773641461579723
8.692153587007304,2.2466100092421293
8.692153587007304,2.254310136574951
8.940500832350374,2.2583103648942324
8.940500832350374,2.2570109064886967
9.188848077693436,2.183878130169588
8.94050083235037,2.226952855539061
9.188848077693436,2.2650888698671015
9.68554256837957,2.205710805889775
9.933889813722637,2.2763031583660913
10.430584304408768,2.2670048239272664
11.423973285781035,2.3067903135412116
12.169015021810235,2.29775116265358
12.914056757839436,2.2963675375687838
13.162404003182502,2.2655713831179014
13.659098493868635,2.302733366027348
13.9074457392117,2.2234010281203487
14.155792984554767,2.2821064139689624
14.404140229897834,2.310455353776247
14.6524874752409,2.3162634179333605
14.155792984554767,2.301956179056464
13.907445739211699,2.1533986432481456
13.410751248525564,2.201577177378536
13.162404003182498,2.1873692455357583
12.169015021810232,2.1454349429892137
11.920667776467164,2.1771278488916512
11.423973285781031,2.161215145833149
10.678931549751832,2.134455015133521
10.430584304408764,2.137722601770243
10.678931549751832,2.1392736799885204
10.67893154975183,2.1100835750156284
10.67893154975183,2.147384003975731
10.67893154975183,2.1694825116368204
10.67893154975183,2.1637605552924204
10.927278795094896,2.1686696282829243
10.9272787950949,2.1807091427279017
10.67893154975183,2.167294470426508
10.182237059065699,2.183096996857991
10.182237059065702,2.142150277617059
10.430584304408772,2.1752896291129478
10.430584304408772,2.1428906850410696
10.430584304408772,2.100963907080927
10.430584304408772,2.2799717722364847
10.430584304408772,2.280624182708076
10.430584304408772,2.2516775580083292
10.430584304408772,2.2839314483781945
10.430584304408772,2.278776602762333
10.430584304408772,2.2624827983947693
10.678931549751837,2.295932498954514
10.927278795094903,2.112362821374888
11.423973285781038,2.13332962331181
11.920667776467173,2.173455995407433
12.417362267153305,2.16688231991982
12.66570951249637,2.1767326241549
12.417362267153301,2.1612495279130393
12.417362267153301,2.1536692363505754
12.169015021810235,2.084334942246454
11.423973285781036,2.068256864431447
10.927278795094903,2.1160120206782667
10.678931549751837,2.1392665841815037
10.182237059065704,2.067299473191519
9.68554256837957,2.046219850799288
9.437195323036503,2.065021646894928
9.437195323036503,2.186240716121808
9.68554256837957,2.1522824435660914
10.182237059065702,2.229435619875453
10.430584304408772,2.209756125759174
10.678931549751837,2.151339207216704
10.927278795094903,2.2739748295205415
11.17562604043797,2.197296000938407
11.423973285781036,2.2599341881256323
12.169015021810235,2.2520972457823394
12.417362267153303,2.266394702657215
13.162404003182502,2.2607370742730057
13.659098493868637,2.249752943353654
14.15579298455477,2.274960351216754
14.155792984554772,2.2944861107747734
14.404140229897838,2.2656680574658483
14.900834720583969,2.2912473216336515
14.900834720583966,2.277147555512575
14.900834720583966,2.213347834731961
15.149181965927028,2.215074587800012
14.652487475240893,2.197141545119785
14.652487475240893,2.207767982566436
14.652487475240896,2.2943314854005656
14.900834720583966,2.2686021667181038
14.900834720583966,2.300844134997369
14.900834720583966,2.310811011492673
14.900834720583966,2.287518395521962
14.900834720583966,2.296911319493345
14.900834720583966,2.3053722186042056
14.900834720583966,2.2833840400057923
14.900834720583966,2.2868977020809016
14.900834720583966,2.2920327426746816
14.900834720583966,2.282855978465892
14.900834720583966,2.2813697528932493
14.900834720583966,2.286013848473046
14.900834720583966,2.2762042013115225
14.900834720583966,2.282277490131771
14.900834720583966,2.281364302987379
15.149181965927031,2.255046842714131
15.397529211270097,2.252303482520859
15.894223701956228,2.239136264050293
16.142570947299294,2.273676668452999
16.887612683328495,2.2389032284892214
17.881001664700758,2.263778080432525
18.37769615538689,2.284683152538222
19.122737891416094,2.2722649098499095
20.116126872788357,2.2587179004347395
20.861168608817557,2.3237535060335808
21.357863099503692,2.368260836425365
21.854557590189827,2.314177833815045
22.59959932621903,2.190314504114212
22.59959932621903,2.3453975681456387
23.34464106224823,2.288765917820649
23.592988307591295,2.2773834914369053
23.09629381690516,2.2782629314353944
22.351252080875962,2.270589059805516
21.854557590189827,2.223159611100187
21.357863099503696,2.2712241963079727
20.86116860881756,2.226255793847165
20.11612687278836,2.1997226691938145
19.37108513675916,2.1917859680094045
18.62604340072996,2.2232359161083743
18.377696155386893,2.1885003950775874
18.626043400729962,2.2164803964909523
18.87439064607303,2.1983669393373115
18.626043400729962,2.3445233316641145
18.874390646073028,2.3299657167936676
19.122737891416094,2.345427691239801
19.122737891416094,2.3690016106514142
18.874390646073028,2.352109687510008
18.62604340072996,2.3610102141755567
18.62604340072996,2.40141110654286
18.37769615538689,2.2501850085777106
18.377696155386893,2.1365331953623925
18.377696155386893,2.2049161341699626
18.377696155386893,2.1434971980351363
18.377696155386893,2.097494859980803
18.377696155386893,2.189565251132563
18.377696155386893,2.1395813624321933
18.377696155386893,2.1161877998226877
18.377696155386893,2.192390497763441
18.129348910043824,2.1861238741146134
18.129348910043824,2.153682797274236
17.881001664700754,2.1732219404550337
18.12934891004382,2.192369765176697
17.881001664700754,2.1997064885461994
18.12934891004382,2.180834476809197
18.129348910043817,2.215425997055858
17.881001664700747,2.163317926678401
17.63265441935768,2.1885518574842804
17.632654419357685,2.156322174239303
17.384307174014616,2.1364845535706487
17.13595992867155,2.156939058321328
16.887612683328484,2.190929130484207
17.13595992867155,2.1463999525251127
17.13595992867155,2.120909371460755
17.135959928671554,2.1511168406448067
17.384307174014616,2.0554374414944903
17.88100166470075,2.065673201700771
18.377696155386886,2.1641026744027667
19.122737891416087,2.216091161242762
19.867779627445287,2.2617888825436316
20.116126872788357,2.262572646084595
20.861168608817557,2.2868421946888984
21.109515854160623,2.2937727089519244
22.84794657156209,2.2840456053317526
24.338030043620492,2.2892205743409253
24.834724534306623,2.3199652382492446
25.33141902499276,2.294111495547564
26.076460761021956,2.2850367213551057
26.821502497051156,2.2976346167366213
26.821502497051156,2.266643772189133
26.82150249705116,2.278466123552595
26.573155251708094,2.2956655642575456
26.07646076102196,2.348439816746088
25.331419024992755,2.233753336004718
24.089682798277423,2.327113292131613
23.59298830759129,2.2777095649351047
23.59298830759129,2.3144576957045606
23.59298830759129,2.3284281486785643
23.59298830759129,2.3539810689092673
23.59298830759129,2.2945819781899863
23.59298830759129,2.3050037189621273
23.59298830759129,2.335698214125286
23.59298830759129,2.314195923673466
23.59298830759129,2.3077479757786272
23.59298830759129,2.3149424139610724
23.59298830759129,2.3169788053647844
23.59298830759129,2.2962561156699337
23.59298830759129,2.286013307999215
23.59298830759129,2.291194979723317
23.59298830759129,2.289482870881002
23.59298830759129,2.2868695249837696
23.59298830759129,2.286419672426958
23.59298830759129,2.2899324252602837
23.59298830759129,2.293290772466725
23.59298830759129,2.290626922556639
23.59298830759129,2.28059985498167
23.59298830759129,2.269058999650475
23.841335552934357,2.2730236679632227
23.841335552934353,2.305698573138144
24.08968279827742,2.2201850320099137
23.841335552934353,2.2804370719220723
23.592988307591284,2.2101514621241205
23.592988307591284,2.300104991525115
23.84133555293435,2.233887987276777
23.84133555293435,2.3373831620448957
24.58637728896355,2.304341466296105
25.33141902499275,2.2957093290611117
26.07646076102195,2.362781532659574
26.82150249705115,2.4037219352792536
27.06984974239422,2.417091627724528
28.31158596910955,2.3970886201174557
28.55993321445262,2.428712121229348
29.05662770513875,2.4155616712356105
29.553322195824887,2.4278343124583106
28.808280459795686,2.2851111888182754
28.808280459795686,2.1727351031929394
28.31158596910955,2.2162227444395155
28.31158596910955,2.2235697791080726
27.56654423308035,2.1630348736680785
27.318196987737284,2.198405736704313
27.318196987737284,2.2426281756893105
27.06984974239422,2.1707595911615805
26.82150249705115,2.184714398022051
26.324808006365018,2.226496389272791
