left_command,right_command,left_speed,right_speed,x,y,alpha,theta,ref_x,ref_y,ref_alpha,ref_theta
0,0,0.0,17.384307174014666,0.12417350465849462,0.00014826039653970113,89.47275616680085,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,89.3915692795811,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,89.35372397233363,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,89.38982471383368,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,89.66177475771136,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,90.11719456288733,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,90.6525151381198,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.12774307280819,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.17244156598392,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.1993815784757,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.1942088427135,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.13411621360972,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.01611075042473,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,90.96889909265953,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.0516543098105,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.27908155015372,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.52465988822492,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.60929949176544,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.56575733108271,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.41445159574012,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.25476309403072,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.19771718767362,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.14614553155921,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.07839820474625,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.10225938325898,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.06978561356927,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.05413701064198,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.07528732264501,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.06774190105018,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.04332474816965,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.04434145686407,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.04585946045998,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.02510519531253,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.0161094447671,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.0231390057805,0.13681970203709334,0,0,11.2,0.0
0,0,0.0,0.0,0.12417350465849462,0.00014826039653970113,91.01609903196044,0.13681970203709334,0,0,11.2,0.0
