active,angle,s0,s1,s2,s3,s4,line_position
True,32.304,2352,2100,2352,1500,1660,-0.8051948051948051
True,34.663,2352,1948,2320,1380,1572,-0.7964071856287426
True,37.203,2288,1768,2288,1224,1484,-0.7339699863574353
True,39.919,2204,1616,2236,1140,1364,-0.7538461538461538
True,42.777,2000,1380,2120,968,1128,-0.7822931785195938
True,45.784,1696,1108,1968,764,700,-0.8538011695906432
True,48.89,1404,904,1792,592,304,-0.7226697353279632
True,52.021,808,620,1528,272,0,-0.6084262701363072
True,55.127,24,244,1208,0,0,-0.19783197831978322
True,58.193,0,0,944,0,0,0.0
True,61.198,0,0,412,0,0,0.0
True,64.003,0,0,0,0,0,0
True,66.511,0,0,0,0,0,0
True,68.752,0,0,0,0,0,0
False,70.745,0,0,0,0,0,0
False,72.545,0,0,0,0,0,0
False,74.222,0,0,0,0,0,0
False,75.834,0,0,0,0,0,0
False,77.434,0,0,0,0,0,0
False,79.029,0,0,0,0,0,0
False,80.579,0,0,0,0,0,0
False,82.03,0,0,0,0,0,0
False,83.327,0,0,0,0,0,0
False,84.46,0,0,0,0,0,0
False,85.452,0,0,0,0,0,0
False,86.34,0,0,0,0,0,0
False,87.151,0,0,0,0,0,0
False,87.892,0,0,0,0,0,0
False,88.576,0,0,0,0,0,0
False,89.209,0,0,0,0,0,0
False,89.787,0,0,0,0,0,0
False,90.303,0,0,0,0,0,0
False,90.755,0,0,0,0,0,0
False,91.159,0,0,0,0,0,0
False,91.534,0,0,0,0,0,0
False,91.87,0,0,0,0,0,0
False,92.132,0,0,0,0,0,0
False,92.337,0,0,0,0,0,0
False,92.532,0,0,0,0,0,0
False,92.764,0,0,0,0,0,0
False,93.039,0,0,0,0,0,0
False,93.354,0,0,0,0,0,0
False,93.703,0,0,0,0,0,0
False,94.067,0,0,0,0,0,0
False,94.456,0,0,0,0,0,0
False,94.892,0,0,0,0,0,0
False,95.351,0,0,0,0,0,0
False,95.787,0,0,0,0,0,0
False,96.23,0,0,0,0,0,0
False,96.63,0,0,0,0,0,0
False,96.933,0,0,0,0,0,0
False,97.094,0,0,0,0,0,0
False,97.095,0,0,0,0,0,0
False,96.952,0,0,0,0,0,0
False,96.727,0,0,0,0,0,0
False,96.549,0,0,0,0,0,0
False,96.522,0,0,0,0,0,0
False,96.726,0,0,0,0,0,0
False,97.174,0,0,0,0,0,0
False,97.854,0,0,0,0,0,0
False,98.686,0,0,0,0,0,0
False,99.221,0,0,0,0,0,0
False,99.789,0,0,0,0,0,0
False,100.29,0,0,0,0,0,0
False,100.573,0,0,0,0,0,0
False,100.679,0,0,0,0,0,0
False,100.483,0,0,0,0,0,0
False,100.063,0,0,0,0,0,0
False,99.396,0,0,0,0,0,0
False,98.898,0,0,0,0,0,0
False,99.112,0,0,0,0,0,0
False,99.573,0,0,0,0,0,0
False,99.836,0,0,0,0,0,0
False,99.969,0,0,0,0,0,0
False,100.053,0,0,0,0,0,0
False,100.102,0,0,0,0,0,0
False,100.012,0,0,0,0,0,0
False,99.767,0,0,0,0,0,0
False,99.469,0,0,0,0,0,0
False,99.232,0,0,0,0,0,0
False,99.149,0,0,0,0,0,0
False,99.053,0,0,0,0,0,0
False,99.014,0,0,0,0,0,0
False,99.099,0,0,0,0,0,0
False,99.323,0,0,0,0,0,0
False,99.634,0,0,0,0,0,0
False,99.905,0,0,0,0,0,0
False,100.154,0,0,0,0,0,0
False,100.487,0,0,0,0,0,0
False,100.843,0,0,0,0,0,0
False,101.232,0,0,0,0,0,0
False,101.654,0,0,0,0,0,0
False,102.078,0,0,0,0,0,0
False,102.395,0,0,0,0,0,0
False,102.728,0,0,0,0,0,0
False,103.068,0,0,0,0,0,0
False,103.493,0,0,0,0,0,0
False,103.922,0,0,0,0,0,0
False,104.288,0,0,0,0,0,0
False,104.612,0,0,0,0,0,0
False,104.892,0,0,0,0,0,0
False,105.132,0,0,0,0,0,0
