active,state,x,y,theta
1,1,-97.45936389884069,-1.5084419184230045,0.007163862846433463
1,1,-95.59679319238681,-1.4973224520894866,0.004775908564288566
1,1,-92.7408188710222,-1.487092504172942,0.002387954282143669
1,1,-90.62986929182779,-1.4845720774317668,-1.0915747472584059e-15
1,1,-89.63648031045553,-1.484572077431768,-1.0915747472584059e-15
1,1,-88.64309132908326,-1.484572077431769,-1.0915747472584059e-15
1,1,-88.02222380579079,-1.4838307754490705,0.002387954282143669
1,1,-87.89805100920971,-1.483385995104873,0.004775908564288566
1,1,-87.27719410705842,-1.4796795063270334,0.007163862846433326
1,1,-86.78050575303577,-1.4773073501275025,0.002387954282143669
1,1,-85.91129617696828,-1.4741938877181193,0.004775908564288566
1,1,-84.42125235710192,-1.4635192355457634,0.00955181712857836
1,1,-83.30375454159861,-1.4515103716904791,0.011939771410723258
1,1,-81.0688608710157,-1.4194872369195337,0.016715679975012915
1,1,-78.83404791824671,-1.3821273391065876,0.016715679975012915
1,1,-77.34417261640071,-1.3572207405646235,0.016715679975012915
1,1,-75.35767221393938,-1.3240119425086712,0.016715679975012915
1,1,-73.86774310021744,-1.3026631859947082,0.01193977141072312
1,1,-73.12275446943991,-1.2937677693309309,0.01193977141072312
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,1,-72.50192234971584,-1.287096178300217,0.00955181712857836
1,2,-72.62608877366065,-1.2884304965063598,0.011939771410723258
1,1,-72.62608877366065,-1.2884304965063598,0.011939771410723258
1,1,-72.87441029261431,-1.2919886225920203,0.016715679975013054
1,1,-73.24687132961236,-1.2986599853618184,0.01910363425715795
1,1,-73.6193153737697,-1.3062207481934232,0.021491588539302844
1,1,-74.86069639829748,-1.3358699953960527,0.02626749710359264
1,1,-76.47423095391937,-1.384047389138992,0.03343135995002733
1,1,-77.96335720704346,-1.437409693976321,0.03820726851431712
1,1,-80.81685102580458,-1.5567243803361384,0.04537113136075181
1,1,-82.92551392570259,-1.654985527519432,0.047759085642896576
1,1,-86.39800130009618,-1.8292666047161337,0.052534994207186235
1,1,-90.11758925506358,-2.0337630069273454,0.05731090277147603
1,1,-92.59698429293341,-2.1760151532568224,0.05731090277147603
1,1,-96.19234995739438,-2.3779880769937876,0.05492294848933114
1,1,-99.54019886459616,-2.5580378443912872,0.052534994207186374
1,1,-101.4003484824564,-2.6536238174527025,0.05014703992504148
1,1,-104.25323992431119,-2.7865651168323198,0.042983177078606785
1,1,-106.48652155081747,-2.8772755169061623,0.038207268514317126
1,1,-107.6033184556087,-2.918630733197624,0.03581931423217223
1,1,-108.96851568703714,-2.962656371211563,0.028655451385737538
1,1,-109.83750222932025,-2.982373204931459,0.01671567997501319
1,1,-110.33414526722756,-2.98948945710278,0.011939771410723532
1,1,-110.83081662754545,-2.994233715394715,0.007163862846433874
1,1,-111.07916080455678,-2.9954197934944804,0.00238795428214408
1,1,-111.20333430921528,-2.99556805389102,-8.170547571850761e-16
1,1,-111.32750781387378,-2.9954197934944804,-0.002387954282145714
1,1,-111.57585435113874,-2.9948267521901237,-0.002387954282145714
1,1,-111.94837486511423,-2.9943819710005046,-8.170547571850761e-16
1,1,-112.44506746759336,-2.995568052481979,0.00477590856428884
1,1,-113.19010070669749,-2.9991262901629776,0.00477590856428884
1,1,-113.68678197998628,-3.002684507553763,0.009551817128578497
1,1,-114.43176990273605,-3.011579915763452,0.014327725692868155
1,1,-114.68009165769156,-3.0151380452307137,0.014327725692868155
1,1,-114.80425454133001,-3.0167688630944673,0.011939771410723258
1,1,-114.80425454133001,-3.0167688630944673,0.011939771410723258
1,1,-114.80425454133001,-3.0167688630944673,0.011939771410723258
1,3,-114.80425454133001,-3.0167688630944673,0.011939771410723258
1,3,-114.80425454133001,-3.0167688630944673,0.011939771410723258
1,3,-114.6800881173852,-3.0154345448883246,0.00955181712857836
1,3,-114.55591886117107,-3.0143967339485,0.007163862846433463
1,3,-114.30758318101212,-3.0120246048025323,0.011939771410723258
1,3,-113.93509453009679,-3.0071321512112714,0.014327725692868155
1,3,-112.94180751027476,-2.9928996333422253,0.014327725692868155
1,3,-111.2035552255862,-2.967992727071394,0.014327725692868155
1,3,-109.46530294089764,-2.9430858208005626,0.014327725692868155
1,3,-106.48535124989856,-2.907504187961807,0.00955181712857836
1,3,-102.76024170023265,-2.8808175575309174,0.004775908564288566
1,3,-100.40095856519233,-2.872366730991163,0.002387954282143669
1,3,-96.4274064161205,-2.872366730991163,-0.0023879542821461253
1,3,-92.45389958393925,-2.8913439805874104,-0.00716386284643592
1,3,-90.09468371587069,-2.911062388444081,-0.009551817128580817
1,3,-86.74219026936072,-2.9470889800099362,-0.011939771410725577
1,3,-83.88644394567652,-2.9845977908762693,-0.014327725692870474
1,3,-82.14819166098796,-3.0095046971471047,-0.014327725692870474
1,3,-79.9133808321569,-3.046864559453662,-0.01910363425716013
1,3,-78.17526732424662,-3.0800728840843714,-0.01910363425716013
1,3,-77.05788421325249,-3.100086972393765,-0.016715679975015232
1,3,-75.69219374425967,-3.1245486358830243,-0.019103634257160128
1,3,-74.32650327526684,-3.1490102993722835,-0.016715679975015232
1,3,-73.45739282806035,-3.1625014569256313,-0.014327725692870335
1,3,-72.09160110803747,-3.1804404534269213,-0.011939771410725438
1,3,-70.97410329253415,-3.1924493172822057,-0.009551817128580541
1,3,-68.98737819937901,-3.2066821868453474,-0.004775908564290884
1,3,-66.62809506433868,-3.2151330133851017,-0.0023879542821459866
1,3,-64.76549249446126,-3.2173569193331972,-1.0894063429134349e-15
1,3,-61.66115487799889,-3.2136504094197047,0.0023879542821437392
1,3,-57.81179818398572,-3.1998622187495793,0.004775908564288636
1,3,-55.20416945578325,-3.19052183152143,0.0023879542821437392
1,3,-50.609775982283665,-3.174064958786119,0.004775908564288636
1,3,-45.64288772158938,-3.15034337424613,0.004775908564288636
1,3,-42.04191768911189,-3.1288457393346616,0.007163862846433465
1,3,-36.20586280888975,-3.0940047448229726,0.004775908564288568
1,3,-30.121395776417316,-3.072210507957291,0.0023879542821436707
1,3,-25.899504642912838,-3.062128805783238,0.0023879542821436707
1,3,-19.069961886695634,-3.0539744839735543,-1.1921887088650607e-15
1,3,-14.47554221433133,-3.0484888493015854,0.0023879542821436707
1,3,-7.273492633647227,-3.031290651475259,0.0023879542821436707
1,3,0.1769034843018451,-3.0134994123445766,0.0023879542821436707
1,3,5.143834229601227,-3.0016385862574553,0.0023879542821436707
1,3,13.090923422080238,-2.9826612645180606,0.0023879542821436707
1,3,20.913809606687646,-2.9546401028336122,0.004775908564288533
1,3,26.501521726049276,-2.9212817038330585,0.007163862846433396
1,3,34.94511139663937,-2.8607919507010355,0.007163862846433396
1,3,40.532823516000995,-2.8274335517004814,0.004775908564288567
1,3,49.224877972215985,-2.7859207787555014,0.004775908564288567
