644,-2146,591
732,-2401,1266
899,-2446,1799
1045,-2415,2325
1176,-2353,2725
1635,-1953,3532
2680,-681,4467
3445,848,4274
3615,2194,3051
3343,2664,2165
2847,2942,1861
2063,3288,1390
1056,3358,501
219,2900,-605
113,1704,-1320
1550,52,-1046
2417,-627,-497
1770,-1181,-470
1253,-1637,-291
1277,-1870,116
1239,-2205,592
778,-2427,1231
868,-2404,2415
1291,-2080,3280
1722,-1580,3971
1934,-828,4488
1924,1048,4563
1748,2904,3185
1688,3362,2106
1674,3357,1464
1457,3348,787
749,3150,-9
-67,2689,-736
-928,1667,-1292
-788,392,-1378
-716,-474,-1080
-1184,-986,-655
-1219,-1410,-43
-1218,-1562,220
-1315,-1618,415
-1820,-1362,587
-1898,-1260,745
-1731,-1486,1318
-1118,-1835,1784
-451,-1520,3125
346,-245,4314
1456,1377,4455
2153,2280,3991
2153,2280,3991
1638,3120,2988
493,3546,1890
169,3587,785
-173,3385,179
-992,3040,-256
-1288,2610,-683
-1395,2077,-1076
-1295,1797,-1167
-626,1333,-1495
717,135,-1324
183,-20,-1373
191,-319,-1247
266,-747,-1047
825,-1532,-410
982,-2326,781
513,-2434,1770
269,-2273,2330
402,-2215,2768
821,-2161,2973
1062,-2074,3237
1130,-2066,3331
1444,-2074,3297
1552,-1911,3583
1449,-1534,3976
1051,-1099,4163
1055,-382,4447
812,693,4481
597,1830,4141
389,2266,3844
152,2361,3638
1,2542,3357
-313,2648,3196
-439,2644,3173
-630,2719,2982
-1095,2860,2434
-1240,3005,1908
-1684,3039,975
-1748,2487,-533
-1248,1646,-1290
-757,539,-1424
-282,20,-1394
-257,-36,-1334
-92,-204,-1287
310,-592,-1065
-38,-522,-1132
-657,-394,-1184
-80,-1592,-140
-125,-2180,1983
-85,-1319,3564
672,-1105,3985
939,-984,4148
1673,-952,4283
1671,-902,4330
1218,-396,4465
1009,768,4528
763,1619,4243
845,2616,3726
938,3409,2522
702,3584,1123
1048,3035,-142
1810,1738,-824
1883,201,-940
2076,-1351,-114
2810,-1847,1144
2938,-2001,1390
3495,-1755,1801
3774,-1629,2305
2417,-2325,2483
2062,-2312,2841
953,-2068,3360
-1671,-404,2977
-1696,-428,2990
-312,-928,3739
2007,-746,4440
1887,-1011,4319
1866,-1009,4315
1868,-1013,4271
1775,-1181,4221
1847,-1201,4238
1801,-1087,4241
1878,-1121,4299
1834,-1146,4253
1687,-993,4396
1407,-583,4482
1290,-588,4450
142,-1193,3768
-382,-1330,3407
-316,-1474,3305
-703,-2000,2057
-858,-1749,173
-1091,-570,-980
-1604,413,-1235
-1414,623,-1291
-1224,408,-1299
-990,222,-1343
-1267,193,-1295
-1556,-71,-972
-1947,-1253,642
-2296,-637,2099
-2503,657,2326
-2650,1290,1925
-2753,1350,1708
-2782,1283,1751
-2767,1400,1656
-2671,2114,1032
-2196,2735,1037
-1684,3088,472
-1455,2934,-172
-1554,2729,-451
-1760,2508,-577
-1823,2398,-630
-2108,1166,-1031
-2293,-104,-623
-2454,-571,255
-2294,-950,664
-2080,-1154,1401
-1771,-1117,2199
-1445,-535,3159
-468,343,3979
-28,849,4182
-371,1168,4001
-355,1582,3909
-451,2486,3254
-1017,2954,2577
-1105,3235,1862
-1348,3285,1104
-1818,3025,1008
-1725,3093,794
-2080,2773,356
-2540,1083,-694
-2494,-290,-140
-2296,-1034,744
