raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
1253,456,-1184,-9461,2837,13455
934,557,-1288,-9793,1296,11155
883,599,-1312,-10573,-2523,5756
1410,59,-1117,-10612,5075,14632
1776,-453,-845,-13083,5414,15647
1659,-571,-856,-6098,6026,17147
968,-878,-907,-3312,2487,16384
659,-1055,-763,-2378,7905,14586
524,-1334,-584,-2473,4456,16854
506,-1608,-377,-182,7839,14122
619,-1866,-20,1736,10023,11731
684,-2088,493,5653,15397,6377
448,-2247,815,3908,10317,9290
425,-2314,1038,2864,12244,6479
664,-2397,1433,-2981,15567,5986
1048,-2472,1869,-23229,16727,10416
1399,-2347,2474,-8081,12378,2708
1730,-2253,2837,-10813,8050,1184
2522,-1991,3058,-10676,11178,-5117
3463,-1405,3478,-11269,6012,-3836
3637,-922,3677,-14554,8976,-4720
3453,111,4381,-12089,4263,-13759
3124,1102,4364,-10249,-1558,-12271
2620,2296,3750,3028,-464,-18395
2161,2473,3846,-4880,-7082,-17413
2406,2500,3693,-6647,-4065,-14435
2790,2509,3386,-7578,-4184,-17457
2923,2778,2595,-9104,-9161,-8060
2791,2954,1687,-7667,-7477,-585
2840,2517,619,-11313,-5470,6629
3162,1825,229,-14737,-7042,3693
3102,969,-260,-18008,-6037,14445
3268,288,-65,-10756,-4116,12137
3104,-38,-105,-11294,-291,12553
3349,-737,376,-12021,3986,11676
3655,-1065,954,-9784,7176,7887
3743,-1403,1664,-6479,13442,10832
3630,-1667,2466,-7794,12706,4491
3299,-1721,3127,1401,25459,-9942
3087,-1445,3722,-5339,13998,-7326
2555,-834,4398,-1555,9464,-12296
2221,-91,4623,-1843,11318,-15831
1962,459,4654,-4110,5119,-16409
1941,1009,4571,-2520,1388,-21638
1857,1205,4528,-6479,-256,-14584
1940,2040,4176,-5482,-6795,-19022
1336,3122,3066,-3677,-10087,-14422
664,3569,1926,-3955,-11998,-4788
660,3549,856,-9944,-15642,4526
934,3215,83,-8565,-17867,7229
890,2996,-320,-3829,-13776,6732
1286,2483,-656,-8550,-10492,7674
1223,1602,-1128,-6522,-6629,12903
612,665,-1381,556,-5411,14167
-268,-155,-1224,8480,3056,26100
-881,-708,-971,64,5812,14932
-614,-1305,-520,1455,9435,15182
-464,-1984,438,1201,14589,10532
-265,-2306,1302,-3259,13559,6726
124,-2377,1692,-1033,16954,5396
