raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
-2679,1032,-866,12007,4745,13011
-2626,1392,-891,10676,1796,13439
-2609,1923,-589,9802,-2663,12479
-2619,2430,121,10278,-8691,10128
-2287,2670,1144,10770,-10961,6965
-2456,2353,1536,10049,-11110,2017
-2203,2066,2298,9663,-10570,-2140
-1833,1589,2951,10002,-10352,-9832
-1455,915,3326,9143,-7612,-12383
-1143,82,3488,8576,-3123,-13913
-854,-712,3406,7464,2154,-13216
-537,-1296,3200,5460,5304,-14467
-210,-1741,2783,4135,8682,-12073
77,-2114,2330,2411,11486,-9151
384,-2283,1809,998,15939,-8162
866,-2247,1889,-1340,20790,-5298
551,-2381,1257,-1098,18815,-2749
445,-2348,1027,-1867,17451,-489
387,-2293,794,-2005,17947,-2023
98,-2219,601,-1348,15889,-314
-88,-2110,409,-2059,14593,-2089
30,-2228,672,-1137,15984,-46
65,-2253,1330,-1395,14918,-2385
85,-2200,2225,341,13472,-11460
47,-1679,3041,697,7774,-14180
-301,-989,3540,1635,5241,-14409
-479,-43,3833,1833,-1851,-17372
-341,1016,4203,1582,-7177,-12549
-726,1984,3410,2427,-10463,-9374
-917,2664,2769,2342,-13635,-4926
-1157,3157,1890,2836,-14149,2564
-1301,3360,904,2833,-14574,6781
-1361,3305,282,3339,-13445,10156
-1526,3053,-403,4747,-9796,11986
-1670,2484,-1025,6002,-3908,15762
-1875,1898,-1223,7232,-1338,15574
-2092,1431,-1347,7860,1101,15886
-2374,829,-1161,9747,6727,10922
-2551,410,-929,10940,8519,9660
-2349,382,-354,11417,5996,7629
-2736,244,-629,11545,8743,8536
-2667,757,-874,10417,7344,11172
-2518,1574,-926,9757,44,13717
-2335,2378,-573,8253,-4280,14714
-1925,2988,280,7301,-11858,10130
-1551,3191,1211,6402,-12138,6403
-1186,3038,2163,5556,-14328,-276
-820,2537,3094,5167,-13680,-7735
-578,1842,3608,4385,-11200,-9093
-282,838,4027,3824,-6212,-14091
137,-375,4046,2084,859,-17439
599,-1209,3958,337,5969,-13939
590,-1975,2916,-1002,9299,-11710
785,-2305,2239,-1982,14209,-7657
1007,-2380,1677,-2938,17338,-7727
880,-2357,1145,-3275,14657,-4847
880,-2357,1145,-4828,14002,609
819,-2173,588,-4312,17904,-1013
687,-2012,173,-4692,13736,7524
456,-1756,-287,-3979,13947,10516
151,-1450,-680,-4598,12779,13600
-305,-914,-1090,-1707,10461,12412
-810,-546,-1269,1440,8292,15637
-1209,-228,-1324,990,2524,17911
-1128,323,-1069,2298,2224,15781
-1530,251,-1377,5001,3685,11077
-1513,-390,-1138,1318,1672,12608
-1245,-1022,-772,363,12882,11392
-995,-1645,-69,2347,16560,2906
-763,-2028,857,167,18198,1123
-597,-2085,1801,910,14415,-1818
-551,-1817,2500,-266,14350,-9142
-582,-1164,3207,853,6603,-16261
-734,-92,3677,2237,-2019,-17195
-970,1182,3579,2249,-8685,-15630
-1356,2187,3007,5131,-10583,-6731
-1426,3060,2189,4853,-13439,466
-1890,3054,530,5625,-14320,5089
-2066,2684,-337,4329,-12967,12590
-2110,2066,-986,4424,-7027,13469
-2185,1201,-1245,4812,-2058,14876
-2174,359,-1200,5497,1736,17481
-2079,-321,-985,6797,6324,15478
-2040,-587,-838,7105,2682,16499
-2172,-412,-924,6693,1787,15833
-2222,-5,-1046,7203,-1849,14705
-2366,347,-1100,6741,-4613,13434
-2405,830,-1125,6159,-5892,12954
-2148,1439,-754,6572,-10409,11748
-2437,1805,-947,6887,-11621,8398
-2280,2450,-526,4767,-12476,4736
-2037,2976,125,2415,-17085,-2462
-1680,3184,1169,2084,-14469,-6113
-1321,3024,2155,1417,-9710,-10899
-934,2618,2939,-1010,-5647,-13500
-517,1999,3552,-1868,-3280,-15689
-202,1324,4040,-2344,1606,-16192
171,635,4236,-3537,6247,-15712
466,-235,4131,-4465,9637,-12377
737,-946,4047,-3596,15018,-7074
1137,-1487,3945,-4008,14216,-922
898,-2151,2870,-4012,16623,1375
831,-2359,2085,-3383,17762,5157
794,-2430,1521,-2757,15342,10008
767,-2364,825,-2564,12040,11941
607,-2138,205,-2072,7013,15129
423,-1663,-477,-1508,6997,15903
247,-1251,-905,359,1055,17363
-34,-678,-1364,1605,760,15164
-441,-255,-1476,2081,-3107,15254
-478,-484,-1466,2126,1712,12226
-356,-1283,-946,89,8037,15124
402,-1715,78,378,11610,15588
386,-2233,457,975,14297,10571
479,-2442,1145,515,17310,5066
548,-2371,1975,858,18036,3885
481,-2183,2635,2011,15677,533
533,-1675,3410,2361,12501,-6837
558,-989,3914,3787,12027,-11113
585,-117,4276,2742,8139,-10401
619,888,4372,1231,2745,-17955
680,1993,3995,909,-1207,-15502
606,2758,3394,1293,-8751,-15153
753,3524,2791,1768,-13645,-9673
290,3623,1486,1380,-13431,-6412
195,3607,583,1382,-16787,-153
13,3192,-466,2859,-15298,6628
-98,2414,-1262,2570,-12811,8661
-130,1553,-1585,3651,-12697,12255
-66,419,-1613,4255,-1866,17362
129,-443,-1449,3777,3172,18320
107,-963,-1153,3675,7045,19335
-152,-823,-1202,4367,3651,14616
-555,-230,-1466,6397,-2563,13018
-932,478,-1601,7514,-7780,12422
-873,1209,-1214,8225,-8936,10862
-1410,1763,-1434,7803,-10913,8282
-1735,2157,-1146,6838,-11946,9007
-2018,2294,-921,7386,-11456,4691
-2387,2141,-734,7050,-12909,7828
-2553,2164,-425,6648,-16836,5967
-2685,2267,-117,7215,-15577,2786
-2620,2332,133,4551,-16371,4327
-2469,2604,731,3188,-16835,2772
-2209,2701,1427,4943,-14648,-696
-1983,2537,2040,5291,-13453,-3081
-1692,2246,2647,5313,-11975,-5488
-1009,1949,3556,4556,-10860,-10800
-910,1280,3690,3327,-7448,-12678
-569,525,3921,2957,-3180,-15164
-260,-132,3943,2221,192,-15868
33,-734,3814,1670,3178,-15707
356,-1402,3493,1109,7656,-14695
622,-1933,2928,-641,10153,-14801
845,-2258,2345,-1022,14215,-11182
1016,-2405,1956,-1958,16096,-8614
1164,-2426,1615,-1430,14625,-5398
1173,-2404,1299,-2802,16426,-5697
1252,-2402,1628,-2093,12857,-7113
1423,-2171,2677,-94,11921,-10351
1104,-1752,3470,154,6550,-16855
1039,-640,4145,-782,-1206,-17490
923,914,4312,502,-9086,-13528
627,2465,3612,627,-14025,-5278
116,3485,1997,2585,-13663,4909
-433,3524,473,4044,-9078,11873
-762,3100,-461,5379,-6744,13497
-1160,2370,-1213,6055,-523,15402
-1474,1431,-1479,7335,4718,16617
-1873,470,-1408,8806,6143,12055
-2072,-339,-972,9304,13616,8598
-1925,-514,-249,10885,12301,4118
-2223,-520,-755,10278,14200,9092
-2267,445,-1161,9303,5873,12859
-2179,1594,-1153,9586,2327,14353
-1893,2544,-696,9416,-5398,12766
-1537,3123,87,8713,-10086,10136
-1183,3389,892,7623,-12840,7415
-877,3381,1697,7277,-14842,2957
-532,3156,2471,6548,-14563,-1309
-235,2620,3209,5705,-13522,-6167
56,1948,3858,5037,-11661,-10089
396,1033,4166,4122,-8238,-12625
994,297,4669,3082,-3475,-15114
1125,-792,4153,1969,2375,-15914
1347,-1617,3488,284,5883,-14754
1621,-2103,2813,-1054,8974,-9544
1970,-2285,2034,-4384,17063,-9872
2075,-2229,1321,-4848,15875,-1154
1989,-2073,840,-5502,16631,-3476
1897,-2034,756,-5886,17066,-2066
2040,-2174,1250,-7501,12880,-3514
2320,-2106,2331,-6944,10623,-9653
2596,-1608,3453,-5952,8190,-14711
2523,-792,4099,-4774,889,-15214
2688,483,4719,-4298,-5909,-14252
2316,1560,4139,-3243,-10686,-11853
2036,2510,3468,-2676,-14760,-7358
1576,3170,2601,-788,-16762,-579
961,3506,1560,1033,-15301,4091
364,3457,422,3423,-11878,10074
-223,3048,-549,5368,-9082,13166
-590,2447,-1139,7129,-3335,16737
-1057,1701,-1480,9543,449,15432
-1057,1052,-1436,10540,3378,12335
-1471,1052,-1436,10894,4909,10283
-1683,515,-1394,11708,8622,8498
-1871,13,-1130,12335,8992,6739
-1592,-29,-711,13202,9225,6473
-1793,-237,-1033,11684,11085,6920
-1740,-216,-1107,11728,8708,8074
-1718,-135,-1153,12068,9366,7829
-1688,-148,-1081,11667,9529,8285
-1698,-196,-1155,12232,7706,5837
-1810,-208,-1107,12203,10265,6374
-1743,-278,-1071,12091,10128,5394
-1697,-477,-999,11208,9601,7322
-1435,-693,-921,10622,12141,4462
-1179,-1098,-718,9758,13287,4437
-806,-1494,-321,9153,14048,3155
-146,-1597,252,9511,14423,24
-258,-1956,335,8398,13721,-314
-96,-2202,960,8112,13362,-3571
37,-2215,1707,8156,11746,-9292
262,-2002,2598,6852,10890,-9678
685,-1626,3406,6593,8714,-12243
1150,-1265,3772,6381,7493,-11760
1225,-1127,3864,5579,4726,-12751
1189,-1101,3863,5145,3105,-13245
1342,-965,4075,6516,4497,-16298
1520,-747,4208,3924,1129,-14810
1796,-22,4695,3546,-525,-15439
1672,495,4428,3004,-4408,-16355
1897,1164,4324,2534,-8895,-13708
1883,1875,3970,1191,-11489,-7410
1939,2647,3348,888,-15462,-6659
1876,3083,2596,1822,-17303,-3260
1672,3353,1774,1103,-14620,4450
1560,3329,835,954,-16045,6837
1602,3110,288,781,-13093,12322
1533,2808,-267,2029,-9773,12957
1269,2378,-806,3779,-8894,15780
1225,2166,-939,1699,-12888,15122
1602,2582,-309,1035,-12541,12615
1487,2934,-107,1019,-12401,8210
1684,3265,911,1645,-16368,-378
1983,3224,1949,-421,-13380,-3933
2161,2890,2799,756,-12169,-9861
2349,2335,3550,-722,-6260,-13530
2525,1355,4141,-837,-2427,-17148
2703,193,4287,-616,3990,-17012
2622,-855,4035,1233,8782,-15093
2324,-1558,3546,2267,14490,-9430
2021,-2018,2930,4284,14248,-7806
1933,-2278,2320,2428,15644,-845
2176,-2144,2395,2306,17126,1803
1956,-2252,1745,814,16391,6378
1912,-2289,1543,2370,16435,5937
1572,-2304,1169,2602,12298,8299
1286,-2267,757,3273,11903,11456
1071,-2136,526,1947,11807,12026
1011,-2016,311,-200,10994,14450
1278,-1933,44,320,10050,13689
1094,-1969,133,685,10139,12846
961,-2216,696,4561,12455,9523
613,-2340,1524,6961,13569,3280
659,-2226,2430,6309,13866,-6628
1635,-1520,3913,4567,12914,-9219
1860,-888,4106,2098,8994,-12721
2162,-234,4345,1441,6950,-14479
2399,384,4398,-664,1986,-15051
2603,1089,4249,-704,-3941,-17474
2618,1826,3883,-1662,-6493,-13986
2616,2348,3416,-2359,-9239,-13752
2515,2862,2753,-2030,-13929,-9396
2232,3198,2082,-2267,-16220,-8547
2005,3274,1493,-2652,-17521,-5296
1897,3283,1087,-1120,-16319,-1488
1663,3294,768,250,-14976,1324
1824,3356,805,924,-16756,4852
1546,3069,3,1447,-14811,3808
1362,3011,-107,2040,-14433,6679
1453,2896,-218,-1423,-15312,9870
1718,2584,-390,1262,-11401,10756
1568,2249,-844,1235,-10891,14368
1636,1737,-1033,148,-10380,14370
1637,1184,-1251,452,-6198,16145
1598,871,-1245,195,-6432,15423
1475,884,-1333,1494,-5520,16470
1226,1447,-1315,4205,-9368,15028
481,2341,-1050,7271,-9922,9130
42,3288,211,9877,-12263,3285
-704,3413,938,11793,-11201,-1295
-1163,3178,1763,13028,-7396,-7351
-1143,2708,2465,12387,-5225,-8948
-1075,2269,2974,11947,-2218,-11932
-1098,1849,3252,12244,-1490,-7557
-741,1390,3620,9309,3199,-11993
141,1007,4092,7134,16444,-8842
-146,1116,4007,6538,-4181,-14296
489,1664,4043,7357,1324,-19330
768,2271,3830,1367,-7645,-10707
1577,2668,3489,493,-17350,-17979
2378,2912,3547,-256,-10788,-10932
2381,2802,2994,-1439,-12625,-12144
2472,2770,2991,-1897,-12243,-8290
2644,2713,2925,-1901,-13596,-9250
2834,2657,2880,-1862,-13160,-8565
2751,2612,2979,-2920,-13051,-8410
2866,2464,3137,-983,-15771,-14904
2469,2248,3681,293,-10735,-9460
1765,1582,4185,2781,-7456,-13282
1428,712,4410,6589,-733,-13003
1090,51,4409,7660,7542,-11773
1022,-729,4128,7001,7542,-12560
1154,-1071,4210,8876,11127,-9459
508,-1578,3385,10291,11881,-7589
-42,-1761,2956,9659,9831,-5451
-253,-1784,2819,11516,12737,3579
-197,-2087,2245,11314,11623,-1330
-399,-2195,1719,9791,10726,1335
-127,-2281,1478,7943,12412,3726
19,-2243,938,8047,11626,8520
27,-2127,443,7015,11309,10498
133,-2031,117,3632,10407,12664
366,-1908,-125,1771,8539,15725
