-1837,2905,1888
-1838,2619,2299
-1636,2344,3001
-1976,1838,2747
-2056,1385,2833
-2093,1022,2879
-2086,786,2891
-2091,391,2798
-2174,-33,2651
-2249,-483,2260
-2332,-820,1770
-2380,-1021,1161
-2378,-1028,632
-2320,-1038,238
-1956,-872,483
-2309,-1068,451
-2358,-993,1292
-2299,-533,2084
-2099,182,2711
-1802,837,3182
-1593,1497,3159
-1459,2311,2848
-1453,2952,1980
-1598,3213,1295
-1614,3236,721
-1879,3078,13
-1828,2875,-18
-2312,2390,-527
-2556,2070,-588
-2692,1857,-610
-2836,1634,-557
-2870,1371,-527
-2897,935,-569
-2785,820,-784
-2679,1032,-866
-2626,1392,-891
-2609,1923,-589
-2619,2430,121
-2287,2670,1144
-2456,2353,1536
-2203,2066,2298
-1833,1589,2951
-1455,915,3326
-1143,82,3488
-854,-712,3406
-537,-1296,3200
-210,-1741,2783
77,-2114,2330
384,-2283,1809
866,-2247,1889
551,-2381,1257
445,-2348,1027
387,-2293,794
98,-2219,601
-88,-2110,409
30,-2228,672
65,-2253,1330
85,-2200,2225
47,-1679,3041
-301,-989,3540
-479,-43,3833
-341,1016,4203
-726,1984,3410
-917,2664,2769
-1157,3157,1890
-1301,3360,904
-1361,3305,282
-1526,3053,-403
-1670,2484,-1025
-1875,1898,-1223
-2092,1431,-1347
-2374,829,-1161
-2551,410,-929
-2349,382,-354
-2736,244,-629
-2667,757,-874
-2518,1574,-926
-2335,2378,-573
-1925,2988,280
-1551,3191,1211
-1186,3038,2163
-820,2537,3094
-578,1842,3608
-282,838,4027
137,-375,4046
599,-1209,3958
590,-1975,2916
785,-2305,2239
1007,-2380,1677
880,-2357,1145
880,-2357,1145
819,-2173,588
687,-2012,173
456,-1756,-287
151,-1450,-680
-305,-914,-1090
-810,-546,-1269
-1209,-228,-1324
-1128,323,-1069
-1530,251,-1377
-1513,-390,-1138
-1245,-1022,-772
-995,-1645,-69
-763,-2028,857
-597,-2085,1801
-551,-1817,2500
-582,-1164,3207
-734,-92,3677
-970,1182,3579
-1356,2187,3007
-1426,3060,2189
-1890,3054,530
-2066,2684,-337
-2110,2066,-986
-2185,1201,-1245
-2174,359,-1200
-2079,-321,-985
-2040,-587,-838
-2172,-412,-924
-2222,-5,-1046
-2366,347,-1100
-2405,830,-1125
-2148,1439,-754
-2437,1805,-947
-2280,2450,-526
-2037,2976,125
-1680,3184,1169
-1321,3024,2155
-934,2618,2939
-517,1999,3552
-202,1324,4040
171,635,4236
466,-235,4131
737,-946,4047
1137,-1487,3945
898,-2151,2870
831,-2359,2085
794,-2430,1521
767,-2364,825
607,-2138,205
423,-1663,-477
247,-1251,-905
-34,-678,-1364
-441,-255,-1476
-478,-484,-1466
-356,-1283,-946
402,-1715,78
386,-2233,457
479,-2442,1145
548,-2371,1975
481,-2183,2635
533,-1675,3410
558,-989,3914
585,-117,4276
619,888,4372
680,1993,3995
606,2758,3394
753,3524,2791
290,3623,1486
195,3607,583
13,3192,-466
-98,2414,-1262
-130,1553,-1585
-66,419,-1613
129,-443,-1449
107,-963,-1153
-152,-823,-1202
-555,-230,-1466
-932,478,-1601
-873,1209,-1214
-1410,1763,-1434
-1735,2157,-1146
-2018,2294,-921
-2387,2141,-734
-2553,2164,-425
-2685,2267,-117
-2620,2332,133
-2469,2604,731
-2209,2701,1427
-1983,2537,2040
-1692,2246,2647
-1009,1949,3556
-910,1280,3690
-569,525,3921
-260,-132,3943
33,-734,3814
356,-1402,3493
622,-1933,2928
845,-2258,2345
1016,-2405,1956
1164,-2426,1615
1173,-2404,1299
1252,-2402,1628
1423,-2171,2677
1104,-1752,3470
1039,-640,4145
923,914,4312
627,2465,3612
116,3485,1997
-433,3524,473
-762,3100,-461
-1160,2370,-1213
-1474,1431,-1479
-1873,470,-1408
-2072,-339,-972
-1925,-514,-249
-2223,-520,-755
-2267,445,-1161
-2179,1594,-1153
-1893,2544,-696
-1537,3123,87
-1183,3389,892
-877,3381,1697
-532,3156,2471
-235,2620,3209
56,1948,3858
396,1033,4166
994,297,4669
1125,-792,4153
1347,-1617,3488
1621,-2103,2813
1970,-2285,2034
2075,-2229,1321
1989,-2073,840
1897,-2034,756
2040,-2174,1250
2320,-2106,2331
2596,-1608,3453
2523,-792,4099
2688,483,4719
2316,1560,4139
2036,2510,3468
1576,3170,2601
961,3506,1560
364,3457,422
-223,3048,-549
-590,2447,-1139
-1057,1701,-1480
-1057,1052,-1436
-1471,1052,-1436
-1683,515,-1394
-1871,13,-1130
-1592,-29,-711
-1793,-237,-1033
-1740,-216,-1107
-1718,-135,-1153
-1688,-148,-1081
-1698,-196,-1155
-1810,-208,-1107
-1743,-278,-1071
-1697,-477,-999
-1435,-693,-921
-1179,-1098,-718
-806,-1494,-321
-146,-1597,252
-258,-1956,335
-96,-2202,960
37,-2215,1707
262,-2002,2598
685,-1626,3406
1150,-1265,3772
1225,-1127,3864
1189,-1101,3863
1342,-965,4075
1520,-747,4208
1796,-22,4695
1672,495,4428
1897,1164,4324
1883,1875,3970
1939,2647,3348
1876,3083,2596
1672,3353,1774
1560,3329,835
1602,3110,288
1533,2808,-267
1269,2378,-806
1225,2166,-939
1602,2582,-309
1487,2934,-107
1684,3265,911
1983,3224,1949
2161,2890,2799
2349,2335,3550
