angle,s0,s1,s2,s3,s4
1.549259766460398,0,0,0,0,0
1.5450193727546437,0,0,0,0,0
1.5399500131487547,0,0,0,0,0
1.5341853285394158,0,0,0,0,0
1.527941440497742,0,0,0,0,0
1.521014910176096,0,0,0,0,0
1.513436970825487,0,0,0,0,0
1.5054738273642223,0,0,0,0,0
1.4972114598096722,0,0,0,0,0
1.4886027520757812,0,0,0,0,0
1.4798768447726063,0,0,0,0,0
1.4710329012108048,0,0,0,0,0
1.4622902057048115,0,0,0,0,0
1.4536392687044388,0,0,0,0,0
1.4449481413546457,0,0,0,0,0
1.4362939206595822,0,0,0,0,0
1.4273728073120342,0,0,0,0,0
1.4181176124967443,0,0,0,0,0
1.4087216531059576,0,0,0,0,0
1.3993324108520135,0,0,0,0,0
1.3899718903366594,0,0,0,0,0
1.3807255826930211,0,0,0,0,0
1.3713523873145452,0,0,0,0,0
1.361871429817303,0,0,0,0,0
1.3522720869588365,0,0,0,0,0
1.342802743742702,0,0,0,0,0
1.3334137053655781,0,0,0,0,0
1.3240863956426983,0,0,0,0,0
1.314931279937319,0,0,0,0,0
1.3060170449999429,0,0,0,0,0
1.2974620214248573,0,0,0,0,0
1.2893716456830948,0,0,0,0,0
1.2815869936124953,0,0,0,0,0
1.274135028852161,0,0,0,0,0
1.2670618940245673,0,0,0,0,0
1.2603757910296987,0,0,0,0,0
1.2541265245656072,0,0,0,0,0
1.2482490775725508,0,0,0,0,0
1.2427613583543953,0,0,0,0,0
1.2376115691678622,0,0,0,0,0
1.23282170131786,0,0,0,0,0
1.2283254203017966,0,0,0,0,0
1.2238969585160995,0,0,0,0,0
1.2192746594679995,0,0,0,0,0
1.2145946845831495,0,0,0,0,0
1.210079235525655,0,0,0,0,0
1.2058316010786236,0,0,0,0,0
1.2017131173819944,0,0,0,0,0
1.197560684904708,0,0,0,0,0
1.1933662592537648,0,0,0,0,0
1.1891067857414477,0,0,0,0,0
1.1847664283378005,0,0,0,0,0
1.18029082390762,0,0,0,0,0
1.1754812111094197,0,0,0,0,0
1.1705283146383676,0,0,0,0,0
1.1655853367111493,0,0,0,0,0
1.1605834149130916,0,0,0,0,0
1.1555157498705684,0,0,0,0,0
1.1503993830492198,0,0,0,0,0
1.1451614481188326,0,0,0,0,0
1.1397963297329026,0,0,0,0,0
1.1341655863649647,0,0,0,0,0
1.1282075329071228,0,0,0,0,0
1.1218470961707454,0,0,0,0,0
1.1151812594450838,0,0,0,0,0
1.108473561660782,0,0,0,0,0
1.1016109462716797,0,0,0,0,0
1.0948225526328577,0,0,0,0,0
1.0881792503977399,0,0,0,0,0
1.0817967551863323,0,0,0,0,0
1.0751040325790477,0,0,0,0,0
1.067896910884786,0,0,0,0,0
1.0609366302519354,0,0,0,0,0
1.0537303829643734,0,0,0,0,0
1.0467252203544146,0,0,0,0,0
1.0396625322832092,0,0,0,0,0
1.032605529523027,0,0,0,0,0
1.0255883729165909,0,0,0,0,0
1.0186020028812515,0,0,0,0,0
1.0115446756126207,0,0,0,0,0
1.0045319495989395,0,0,0,0,0
