acc,lpf_acc,gyro,control_angle
89374.2958242858,89426.55787811686,-1.1283799999999948,89400.78720330099
89495.87475551892,89437.63095841122,0.3896200000000052,89401.54136465209
89508.83621597823,89459.66893192765,-0.11637999999999482,89402.00742412484
89469.06466012892,89491.25854387534,0.8956200000000052,89403.78659912234
89448.14529012509,89475.3487220774,-0.6223799999999948,89403.88606415188
89381.60856659233,89432.93950561543,0.3896200000000052,89404.56232236652
89475.51216457087,89435.08867376274,-0.11637999999999482,89404.75236968047
89532.84019061078,89463.32030725798,-1.1283799999999948,89404.22095285625
89378.68393228443,89462.34542915534,-2.646379999999995,89402.18228141923
89387.32611102294,89432.95007797268,-0.11637999999999482,89402.37474318476
89404.76128534565,89390.25710955098,-0.11637999999999482,89402.13835064843
89502.36686630956,89431.48475422601,0.8956200000000052,89403.3184784842
89455.87091336351,89454.33302167286,-0.6223799999999948,89403.21246771609
89414.78646314064,89457.67474760453,0.8956200000000052,89404.64375431498
89445.20251695938,89438.6199644878,-2.140379999999995,89402.86454021672
89533.44315008032,89464.47737672675,0.8956200000000052,89404.36733238182
89489.02877291794,89489.22481331918,-0.6223799999999948,89404.5997509912
89458.37331596232,89493.6150796535,-0.6223799999999948,89404.87374807782
89465.92185314209,89471.10798067407,-2.646379999999995,89402.91617420378
89482.60523929997,89468.96680280143,1.9076200000000052,89405.46522428976
89457.76765322564,89468.76491522253,-0.6223799999999948,89405.48206499909
89424.37420789931,89454.91570014162,-0.11637999999999482,89405.8611851505
89482.48369618281,89454.87518576924,0.3896200000000052,89406.7370489567
89422.06000914746,89442.97263774318,-0.6223799999999948,89406.48324864457
89445.20251695938,89449.91540742987,-0.6223799999999948,89406.30141403242
89438.50692071783,89435.2564822749,0.3896200000000052,89406.97668851486
89475.41969881467,89453.04304549731,0.3896200000000052,89407.82307588469
89458.5324762295,89457.486365254,1.4016200000000052,89409.70731257838
89475.04950975529,89469.66722826648,0.3896200000000052,89410.69263553526
89429.35340147544,89454.31179582007,0.8956200000000052,89412.01549093811
89388.15382143625,89430.85224422235,1.4016200000000052,89413.59146227095
89455.26341927874,89424.25688073016,1.9076200000000052,89415.58666025553
89395.83887685207,89413.08537252236,-0.6223799999999948,89414.9454911782
89425.45564611399,89425.5193140816,-0.11637999999999482,89414.93601320723
89437.71406643915,89419.66952980174,-0.11637999999999482,89414.86813217317
89444.84370866761,89436.00447374025,-2.646379999999995,89412.45957938884
89451.54441324224,89444.70072944967,-0.11637999999999482,89412.66677468944
89492.89899485855,89463.09570558947,0.8956200000000052,89414.05772779843
89438.60587041784,89461.01642617288,-0.11637999999999482,89414.41209858216
89439.23174340249,89456.91220289296,0.3896200000000052,89415.22282342527
89532.92250404044,89470.25337262027,-0.6223799999999948,89415.15697271722
89405.49488382414,89459.21637708903,0.3896200000000052,89415.98329056094
89421.75445353144,89453.39061379869,-0.6223799999999948,89415.74120759332
89525.64007917287,89450.96313884284,-0.11637999999999482,89415.97821070581
89459.16818361658,89468.85423877365,1.4016200000000052,89417.8945747865
89434.34522943306,89473.05116407418,-0.11637999999999482,89418.33092447936
89415.4391775435,89436.31753019773,-2.140379999999995,89416.39181433654
89414.85523851056,89421.54654849572,0.8956200000000052,89417.33002547814
89515.56890781727,89448.62110795714,-0.6223799999999948,89417.02678010291
89499.73725309334,89476.72046647374,-1.6343799999999948,89416.00568076661
89445.62596600036,89486.977375637,-0.11637999999999482,89416.60018151531
89442.03492447847,89462.46604785742,0.3896200000000052,89417.44456397873
89486.20835131509,89457.95641393134,0.3896200000000052,89418.23540627827
89498.50131707262,89475.58153095543,-1.6343799999999948,89417.19083132505
89482.78744704247,89489.16570514343,1.9076200000000052,89419.79912386324
89159.43800018282,89380.24225476601,-8.718379999999994,89410.77235897226
89529.62715763702,89390.61753495416,-6.694379999999995,89403.94337453209
100985.92490857698,93224.996688799,53.01362,89494.63739147475
100753.2671087562,97089.6063916568,-166.08438,89406.16354527658
98160.52452209523,99966.57217980952,-1293.45238,88231.24977542191
98629.59102432712,99181.12755172623,-2457.7583799999998,85907.56775698495
101247.52202946786,99345.87919196342,-3055.34438,83017.15993513474
90810.9035003982,96896.00551806443,-3090.2583799999998,80096.59259476405
79016.17674184621,90358.20075723746,-2907.5923799999996,77320.69222018878
77685.60988592634,82504.23004272363,-2726.9503799999998,74672.84672221413
76075.35220537346,77592.37961104872,-2608.5463799999998,72119.58113490247
77214.16149855129,76991.70786328375,-2636.88238,69557.78884598629
