phase,x,y,theta,angle,dE.I
1,-21.504517186509357,-0.35474129857211495,-0.13681970203709642,6.013661097781533,-16.297638356163038
1,-22.74621682943505,-0.3458457804577825,-0.6840985101854697,6.2738753973582195,-16.622584310869254
1,-23.863682782181037,-0.3311684196839998,-0.8209182122225626,6.667768673547381,-16.963494064900413
1,-25.850181296697528,-0.29795965318928297,-1.0945576162967483,7.240459438396196,-17.33278236913895
1,-28.333200593712224,-0.25051918943112905,-1.0945576162967483,7.988655162207778,-17.737542377620553
1,-30.443716843937114,-0.2076748667187018,-1.2313773183338412,8.874483256840609,-18.172452618248226
1,-32.92661577591194,-0.15430520729318217,-1.2313773183338412,9.795129052334014,-18.642832843618397
1,-36.15438438747921,-0.08492465004000671,-1.2313773183338412,10.83387268056443,-19.159324049153813
1,-38.51307559510843,-0.03140722476987038,-1.3681970203709322,11.879452225379403,-19.70951084336965
1,-40.995840003751844,0.027891325991981332,-1.3681970203709322,12.928358080890883,-20.295165700566105
1,-41.86478194054313,0.04968332592350796,-1.505016722408027,14.013730194958203,-20.893234014002434
1,-45.588457736988026,0.15641615230016484,-1.7786561264822125,15.139282105927968,-21.544497695959407
1,-47.32591540999727,0.21452337473625566,-2.0522955305563984,15.430359744701633,-22.220582201816512
1,-48.69088940474211,0.2650686390924863,-2.189115232593493,15.489778167942639,-22.916166336169972
1,-49.80768630953334,0.30642385538394895,-2.0522955305564023,15.558619053286202,-23.62770471202045
1,-50.42812903441735,0.32939897554587194,-2.189115232593497,15.143725349043374,-24.34810655536927
1,-50.80036068986767,0.3440729608117364,-2.3259349346305878,14.742616368889093,-25.07382599379595
1,-51.17255624325278,0.3596357755705034,-2.4627546366676785,14.403302764716278,-25.804862511556703
1,-51.17255624325278,0.3596357755705034,-2.4627546366676785,13.864720879713602,-26.535899029317456
1,-51.9169834520882,0.38987257559513405,-2.189115232593489,13.461857641045876,-27.277570221490144
1,-52.6614814500304,0.41833166000529515,-2.189115232593489,13.185573292963346,-28.029877099347722
1,-53.53010126486802,0.45049682823198745,-2.0522955305563944,13.244072887955133,-28.79459283170298
1,-54.27466509905411,0.4771780060080936,-2.0522955305563944,13.365752117084952,-29.569945190260896
1,-55.51560482269758,0.5216466356349372,-2.0522955305563944,13.645045578712434,-30.363025259156576
1,-56.63249729759249,0.5603348765994184,-1.9154758285193036,14.046839946374835,-31.17206093483647
1,-58.24591527420591,0.6123652749685443,-1.7786561264822125,14.585409022013701,-32.004145438753696
1,-59.487053222693156,0.6509068053235195,-1.7786561264822125,15.00872830023026,-32.85396048479217
1,-60.60411773064199,0.6842604490048395,-1.6418364244451216,15.559101793892276,-33.71973359522991
1,-61.597098886744014,0.7127225630886523,-1.6418364244451216,16.014013614919943,-34.59969215075483
1,-62.59014423408041,0.7388133798757295,-1.3681970203709362,16.37760082695733,-35.49383706838454
1,-63.086697115809095,0.7506730900280998,-1.3681970203709362,16.31558915005819,-36.39507559861039
1,-63.210838758315894,0.7534897966212648,-1.2313773183338412,16.18966946814614,-37.29808758087204
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.989724997425638,-38.20287310620112
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.863393274082982,-39.10765863153019
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.715055459484779,-40.01244415685927
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.613917929649867,-40.91722968218834
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.548615456223452,-41.82201520751742
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.588421930731643,-42.72680073284649
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.566529884946624,-43.63158625817557
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.655418312554355,-44.53637178350464
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.737703683630524,-45.441157308833716
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,15.880720652706655,-46.34594283416279
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,16.053439266200456,-47.250728359491866
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,16.27938207869145,-48.15551388482094
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,16.534652711021593,-49.060299410150016
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,16.853692962086416,-49.96508493547909
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,17.204941242483844,-50.869870460808166
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,17.61063173331767,-51.77465598613724
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,18.02893132140908,-52.679441511466315
1,-63.334986773035006,0.7560100508984664,-1.0945576162967465,18.47758203788215,-53.58422703679539
1,-62.96254272887767,0.7484492880668615,-1.2313773183338375,18.840783409182016,-54.48369193292221
1,-62.34183451634367,0.7343657551010365,-1.3681970203709324,19.027324740855764,-55.374289568869976
1,-61.34878916900727,0.7082749383139594,-1.6418364244451178,19.00372282716754,-56.25070084271294
1,-59.36312891845085,0.6418668734419412,-2.1891152325934895,18.651304462481434,-57.09874554154795
1,-57.50215468882403,0.5640529475551029,-2.59957433870477,18.058791519425515,-57.92020489424544
1,-55.145687247224586,0.448604413822206,-3.01003344481605,17.217566843718622,-58.70800042634865
1,-52.418363073655755,0.2921276477156678,-3.557312252964422,16.162053101963505,-59.45683418454373
1,-50.43571507829153,0.16411945724901394,-3.8309516570386113,14.823910292007968,-60.1773443999479
1,-45.23381966135934,-0.2091760101266859,-4.378230465186986,13.521507374816158,-60.8235418236816
1,-42.13882398654308,-0.44985743456088734,-4.515050167224077,12.064740088104905,-61.42552502348936
1,-38.67275233025188,-0.7235592984104575,-4.515050167224077,10.629000169853315,-61.977992913921526
1,-34.46476067378069,-1.0659607041800243,-4.7886895712982644,9.253868834811415,-62.47034663783268
1,-31.74247677905677,-1.2940160990624703,-4.7886895712982644,7.983130352948309,-62.923810591819205
1,-29.14367561513522,-1.5086025324182635,-4.651869869261172,6.8625892236563155,-63.340148814892565
1,-26.172759876123298,-1.7432039070412153,-4.378230465186987,6.201188481773977,-63.71404538455147
1,-25.553647558888155,-1.7898619144535968,-4.2414107631498945,5.742818115315436,-64.07909749253558
1,-23.32388813153771,-1.9445215686333643,-3.6941319550015206,5.6434032296815655,-64.4122958944147
1,-22.456165087083438,-1.9953456015714526,-3.010033444816053,5.682670726710121,-64.7330982528016
1,-22.084091280515104,-2.0135743174240153,-2.599574338704772,6.262668072808582,-65.04858527109467
1,-21.71189643458974,-2.029137102601383,-2.1891152325934913,6.87478311966439,-65.35875522016023
1,-21.339599650611614,-2.042033158410352,-1.778656126482211,7.4969164876470655,-65.6636066437404
1,-20.967220035116533,-2.0522618230161567,-1.3681970203709304,8.143249519400367,-65.96313835852777
1,-20.71893037789062,-2.0575987838865233,-1.0945576162967428,8.792358028579605,-66.25912307821193
1,-20.71893037789062,-2.0575987838865233,-1.0945576162967428,9.113172956426371,-66.55510779789608
1,-20.098119499778665,-2.065752826708084,-0.41045910611127656,9.387542951920206,-66.84222379075007
1,-19.849775322767336,-2.0669389048078495,-0.13681970203708893,9.585470623121669,-67.12579200964674
1,-19.353081304133358,-2.0669389048078495,0.13681970203709867,9.777493940174507,-67.40226459970579
1,-18.23552613490373,-2.062935881710071,0.2736394040741915,9.815227785363513,-67.6627721159187
