mag_x, mag_y, mag_z
 -820.80, -526.66, -209.88
 -843.23, -473.87, -266.45
 -933.70, -350.75,  -76.50
 -946.51, -217.91,  230.32
 -739.98, -134.54,  674.64
 -158.58,  130.49,  938.53
  351.80,  404.91,  789.61
  493.33,  580.03,  606.94
  357.59,  844.53,  358.78
   63.74,  963.71,  214.04
 -363.80,  917.90,  138.84
 -681.45,  725.18,  267.64
 -926.34,  362.27,  118.44
 -978.22,   88.52,  147.63
 -954.08, -261.68,  107.80
 -859.87, -508.84, -139.37
 -819.21, -470.87, -366.42
 -914.34, -354.59, -254.57
 -973.98, -243.45,   25.47
 -934.11, -220.32,  269.68
 -934.11, -220.32,  269.68
 -799.63, -254.94,  533.99
