calib_mag_orient,ref_orient,orient
283,0,0.0
282,0,0.0
282,0,0.0
286,0,0.0
267,0,0.0
271,0,0.0
272,0,0.0023879542821448716
272,0,0.004775908564289743
271,0,0.004775908564289743
274,0,0.004775908564289743
275,0,0.007163862846434615
265,0,0.007163862846434615
266,0,0.009551817128579486
268,0,0.009551817128579486
267,0,0.009551817128579486
267,0,0.009551817128579486
270,0,0.009551817128579486
272,0,0.009551817128579486
257,0,0.009551817128579486
258,0,0.009551817128579486
257,0,0.009551817128579486
279,0,0.011939771410724359
270,0,0.011939771410724359
273,0,0.004775908564289744
277,0,-5.204170427930421e-18
262,0,-0.004775908564289744
268,0,-0.011939771410724349
254,0,-0.01671567997501409
261,0,-0.023879542821448697
258,0,-0.028655451385738422
246,0,-0.028655451385738422
222,0,-0.023879542821448628
223,0,-0.019103634257158903
263,0,-0.014327725692869109
262,0,-0.009551817128579384
254,0,-0.007163862846434487
268,0,-0.007163862846434555
240,0,-0.007163862846434555
243,0,-0.004775908564289658
243,0,-0.007163862846434555
236,0,-0.007163862846434555
251,0,-0.007163862846434555
251,0,-0.007163862846434555
249,0,-0.007163862846434555
256,0,-0.007163862846434555
254,0,-0.004775908564289658
260,0,-0.004775908564289658
279,0,0.0023879542821450333
273,0,-0.002387954282144624
273,0,-0.002387954282144624
260,0,-0.004775908564289521
266,0,-0.007163862846434418
265,0,-0.011939771410724213
266,0,-0.01432772569286911
241,0,-0.016715679975014008
259,0,-0.01432772569286911
253,0,-0.016715679975014008
259,0,-0.019103634257158907
264,0,-0.019103634257158907
268,0,-0.0238795428214487
271,0,-0.0238795428214487
270,0,-0.0238795428214487
276,0,-0.0238795428214487
276,0,-0.021491588539303802
291,0,-0.019103634257158907
273,0,-0.014327725692869112
280,0,-0.009551817128579318
275,0,-0.007163862846434421
276,0,-0.004775908564289524
275,0,-0.004775908564289524
272,0,-0.004775908564289524
244,0,-0.004775908564289524
255,0,-0.004775908564289524
254,0,-0.009551817128579044
263,0,-0.011939771410723941
279,0,-0.016715679975013734
284,0,-0.016715679975013734
282,0,-0.016715679975013734
271,0,-0.016715679975013734
273,0,-0.016715679975013734
284,0,-0.016715679975013734
278,0,-0.016715679975013734
272,0,-0.016715679975013734
274,0,-0.016715679975013734
275,0,-0.016715679975013734
269,0,-0.01910363425715863
274,0,-0.01910363425715863
267,0,-0.014327725692868835
262,0,-0.00955181712857904
271,0,-0.004775908564289246
263,0,-0.002387954282144349
274,0,0.0047759085642903425
270,0,0.0047759085642903425
272,0,0.009551817128580137
268,0,0.009551817128580137
276,0,0.011939771410725034
277,0,0.011939771410725034
269,0,0.009551817128580137
272,0,0.00716386284643524
276,0,0.0023879542821454453
281,0,-0.002387954282144349
281,0,-0.007163862846434143
293,0,-0.007163862846434143
270,0,-0.014327725692868835
268,0,-0.016715679975013734
275,0,-0.021491588539303528
264,0,-0.023879542821448562
266,0,-0.026267497103593322
262,0,-0.023879542821448427
254,0,-0.023879542821448427
265,0,-0.028655451385738086
254,0,-0.02387954282144829
266,0,-0.021491588539303393
265,0,-0.019103634257158497
266,0,-0.011939771410723943
270,0,-0.009551817128579046
274,0,-0.004775908564289251
252,0,-0.002387954282144354
246,0,-0.004775908564289251
246,0,-0.004775908564289251
247,0,-0.0071638628464341485
239,0,-0.0071638628464341485
238,0,-0.0071638628464341485
238,0,-0.009551817128579046
262,0,-0.0071638628464341485
253,0,-0.009551817128579046
259,0,-0.011939771410723943
259,0,-0.009551817128579046
261,0,-0.011939771410723806
257,0,-0.011939771410723806
265,0,-0.016715679975013463
264,0,-0.01910363425715836
268,0,-0.016715679975013463
261,0,-0.014327725692868566
261,0,-0.014327725692868566
263,0,-0.014327725692868566
263,0,-0.014327725692868566
271,0,-0.014327725692868566
263,0,-0.014327725692868566
263,0,-0.014327725692868566
261,0,-0.014327725692868566
271,0,-0.014327725692868566
264,0,-0.014327725692868566
268,0,-0.014327725692868566
265,0,-0.016715679975013463
262,0,-0.016715679975013463
271,0,-0.023879542821448017
264,0,-0.028655451385737676
279,0,-0.03581931423217223
276,0,-0.03581931423217223
264,0,-0.03581931423217223
275,0,-0.03343135995002747
270,0,-0.031043405667882707
270,0,-0.028655451385737808
269,0,-0.01910363425715836
268,0,-0.014327725692868701
239,0,-0.009551817128578907
247,0,-0.009551817128578907
251,0,-0.00716386284643401
272,0,-0.0047759085642891125
264,0,-0.0047759085642891125
276,0,-0.0047759085642891125
264,0,-0.0047759085642891125
275,0,-0.0047759085642891125
268,0,-0.0047759085642891125
274,0,-0.0047759085642891125
270,0,-0.0047759085642891125
267,0,-0.0047759085642891125
266,0,-0.0047759085642891125
269,0,-0.0047759085642891125
264,0,-0.0047759085642891125
266,0,-0.0047759085642891125
263,0,-0.0047759085642891125
263,0,-0.0023879542821442154
257,0,-0.0023879542821442154
270,0,5.451368523257116e-16
264,0,0.004775908564290202
270,0,0.004775908564290202
262,0,0.00955181712857986
259,0,0.007163862846434962
