raw_mag_x,raw_mag_y,raw_mag_z
-3747,-2180,12
-3747,-2180,12
-3747,-2180,12
-3747,-2180,12
-3747,-2180,12
-3747,-2180,12
-3747,-2180,12
-3873,-2082,14
-3873,-2082,14
-3873,-2082,14
-3873,-2082,14
-3873,-2082,14
-3873,-2082,14
-3873,-2082,14
-3950,-1966,56
-3950,-1966,56
-3950,-1966,56
-3950,-1966,56
-3950,-1966,56
-3950,-1966,56
-3950,-1966,56
-3886,-1990,100
-3886,-1990,100
-3886,-1990,100
-3886,-1990,100
-3886,-1990,100
-3886,-1990,100
-3886,-1990,100
-3857,-1999,29
-3857,-1999,29
-3857,-1999,29
-3857,-1999,29
-3857,-1999,29
-3857,-1999,29
-3857,-1999,29
-3795,-2094,16
-3795,-2094,16
-3795,-2094,16
-3795,-2094,16
-3795,-2094,16
-3795,-2094,16
-3795,-2094,16
-3813,-2132,-30
-3813,-2132,-30
-3813,-2132,-30
-3813,-2132,-30
-3813,-2132,-30
-3813,-2132,-30
-3813,-2132,-30
-3813,-2149,41
-3813,-2149,41
-3813,-2149,41
-3813,-2149,41
-3813,-2149,41
-3813,-2149,41
-3813,-2149,41
-3798,-2271,162
-3798,-2271,162
-3798,-2271,162
-3798,-2271,162
-3798,-2271,162
-3798,-2271,162
-3798,-2271,162
-3751,-2347,312
-3751,-2347,312
-3751,-2347,312
-3751,-2347,312
-3751,-2347,312
-3751,-2347,312
-3751,-2347,312
-3824,-2216,598
-3824,-2216,598
-3824,-2216,598
-3824,-2216,598
-3824,-2216,598
-3824,-2216,598
-3824,-2216,598
-3684,-2079,1278
-3684,-2079,1278
-3684,-2079,1278
-3684,-2079,1278
-3684,-2079,1278
-3684,-2079,1278
-3684,-2079,1278
-3808,-1960,1009
-3808,-1960,1009
-3808,-1960,1009
-3808,-1960,1009
-3808,-1960,1009
-3808,-1960,1009
-3808,-1960,1009
-3840,-1710,1159
-3840,-1710,1159
-3840,-1710,1159
-3840,-1710,1159
-3840,-1710,1159
-3840,-1710,1159
-3840,-1710,1159
-3937,-1344,1289
-3937,-1344,1289
-3937,-1344,1289
-3937,-1344,1289
-3937,-1344,1289
-3937,-1344,1289
-3937,-1344,1289
-3919,-1152,1332
-3919,-1152,1332
-3919,-1152,1332
-3919,-1152,1332
-3919,-1152,1332
-3919,-1152,1332
-3919,-1152,1332
-3919,-1152,1332
-3954,-872,1294
-3954,-872,1294
-3954,-872,1294
-3954,-872,1294
-3954,-872,1294
-3954,-872,1294
-3954,-872,1294
-4003,-612,1270
-4003,-612,1270
-4003,-612,1270
-4003,-612,1270
-4003,-612,1270
-4003,-612,1270
-4003,-612,1270
-3983,-386,1089
-3983,-386,1089
-3983,-386,1089
-3983,-386,1089
-3983,-386,1089
-3983,-386,1089
-3983,-386,1089
-3966,-262,1097
-3966,-262,1097
-3966,-262,1097
-3966,-262,1097
-3966,-262,1097
-3966,-262,1097
-3966,-262,1097
-3959,-84,1019
-3959,-84,1019
-3959,-84,1019
-3959,-84,1019
-3959,-84,1019
-3959,-84,1019
-3959,-84,1019
-4003,6,874
-4003,6,874
-4003,6,874
-4003,6,874
-4003,6,874
-4003,6,874
-4003,6,874
-3966,109,843
-3966,109,843
-3966,109,843
-3966,109,843
-3966,109,843
-3966,109,843
-3966,109,843
-3842,224,1225
-3842,224,1225
-3842,224,1225
-3842,224,1225
-3842,224,1225
-3842,224,1225
-3842,224,1225
-3903,212,552
-3903,212,552
-3903,212,552
-3903,212,552
-3903,212,552
-3903,212,552
-3903,212,552
-3996,279,273
-3996,279,273
-3996,279,273
-3996,279,273
-3996,279,273
-3996,279,273
-3996,279,273
-3990,375,-71
-3990,375,-71
-3990,375,-71
-3990,375,-71
-3990,375,-71
-3990,375,-71
-3990,375,-71
-3859,388,-504
-3859,388,-504
-3859,388,-504
-3859,388,-504
-3859,388,-504
-3859,388,-504
-3859,388,-504
-3628,482,-883
-3628,482,-883
-3628,482,-883
-3628,482,-883
-3628,482,-883
-3628,482,-883
-3628,482,-883
-3329,534,-1288
-3329,534,-1288
-3329,534,-1288
-3329,534,-1288
-3329,534,-1288
-3329,534,-1288
-3329,534,-1288
-2949,626,-1501
-2949,626,-1501
-2949,626,-1501
-2949,626,-1501
-2949,626,-1501
-2949,626,-1501
-2949,626,-1501
-2456,738,-1622
-2456,738,-1622
-2456,738,-1622
-2456,738,-1622
-2456,738,-1622
-2456,738,-1622
-2456,738,-1622
-1958,809,-1680
-1958,809,-1680
-1958,809,-1680
-1958,809,-1680
-1958,809,-1680
-1958,809,-1680
-1958,809,-1680
-1429,915,-1640
-1429,915,-1640
-1429,915,-1640
-1429,915,-1640
-1429,915,-1640
-1429,915,-1640
-1429,915,-1640
-1175,1031,-1507
-1175,1031,-1507
-1175,1031,-1507
-1175,1031,-1507
-1175,1031,-1507
-1175,1031,-1507
-1175,1031,-1507
-1175,1031,-1507
-767,1204,-860
-767,1204,-860
-767,1204,-860
-767,1204,-860
-767,1204,-860
-767,1204,-860
-767,1204,-860
-821,1251,-1303
-821,1251,-1303
-821,1251,-1303
-821,1251,-1303
-821,1251,-1303
-821,1251,-1303
-821,1251,-1303
-670,1356,-1131
-670,1356,-1131
-670,1356,-1131
-670,1356,-1131
-670,1356,-1131
-670,1356,-1131
-670,1356,-1131
-392,1408,-957
-392,1408,-957
-392,1408,-957
-392,1408,-957
-392,1408,-957
-392,1408,-957
-392,1408,-957
109,1475,-643
109,1475,-643
109,1475,-643
109,1475,-643
109,1475,-643
109,1475,-643
109,1475,-643
626,1346,-452
626,1346,-452
626,1346,-452
626,1346,-452
626,1346,-452
626,1346,-452
626,1346,-452
1218,1022,-343
1218,1022,-343
1218,1022,-343
1218,1022,-343
1218,1022,-343
1218,1022,-343
1218,1022,-343
1788,497,-394
1788,497,-394
1788,497,-394
1788,497,-394
1788,497,-394
1788,497,-394
