raw_mag_x,raw_mag_y,raw_mag_z
-1380,1849,1005
-1380,1849,1005
-1380,1849,1005
-1380,1849,1005
-1380,1849,1005
-1380,1849,1005
-1586,1831,762
-1586,1831,762
-1586,1831,762
-1586,1831,762
-1586,1831,762
-1586,1831,762
-1586,1831,762
-1855,1791,545
-1855,1791,545
-1855,1791,545
-1855,1791,545
-1855,1791,545
-1855,1791,545
-1855,1791,545
-2185,1701,114
-2185,1701,114
-2185,1701,114
-2185,1701,114
-2185,1701,114
-2185,1701,114
-2185,1701,114
-2752,1380,-318
-2752,1380,-318
-2752,1380,-318
-2752,1380,-318
-2752,1380,-318
-2752,1380,-318
-2752,1380,-318
-2890,1012,-507
-2890,1012,-507
-2890,1012,-507
-2890,1012,-507
-2890,1012,-507
-2890,1012,-507
-2890,1012,-507
-3008,391,-1529
-3008,391,-1529
-3008,391,-1529
-3008,391,-1529
-3008,391,-1529
-3008,391,-1529
-3008,391,-1529
-3138,-416,-1723
-3138,-416,-1723
-3138,-416,-1723
-3138,-416,-1723
-3138,-416,-1723
-3138,-416,-1723
-3138,-416,-1723
-2933,-1070,-1854
-2933,-1070,-1854
-2933,-1070,-1854
-2933,-1070,-1854
-2933,-1070,-1854
-2933,-1070,-1854
-2933,-1070,-1854
-2761,-2010,-1609
-2761,-2010,-1609
-2761,-2010,-1609
-2761,-2010,-1609
-2761,-2010,-1609
-2761,-2010,-1609
-2761,-2010,-1609
-2238,-2776,-1269
-2238,-2776,-1269
-2238,-2776,-1269
-2238,-2776,-1269
-2238,-2776,-1269
-2238,-2776,-1269
-2238,-2776,-1269
-1770,-3226,-1051
-1770,-3226,-1051
-1770,-3226,-1051
-1770,-3226,-1051
-1770,-3226,-1051
-1770,-3226,-1051
-1770,-3226,-1051
-1196,-3584,-734
-1196,-3584,-734
-1196,-3584,-734
-1196,-3584,-734
-1196,-3584,-734
-1196,-3584,-734
